synLabel,synX,synY,synZ,synHalfSA,synVol,synSphere,synMaxFeret,synMinFeret,synAspectRatio,vesLabel,vesX,vesY,vesZ,vesSA,vesVol,vesSphere,vesMaxFeret,vesMinFeret,vesAspectRatio,comDist,synVertX,synVertY,synVertZ,vesVertX,vesVertY,vesVertZ,meshNND
0,5.096e-06,1.72e-06,2.565e-06,1.961237757658156e-14,6.134400000000002e-22,0.8900996097287284,1.7267388664722397e-07,6.39997779217083e-08,0.4398037261381317,511,4.776e-06,1.768e-06,2.88e-06,1.6156845271524716e-12,4.9121280000000006e-20,0.401458516393481,1.4714782065036553e-06,5.063415901517253e-07,0.3318486800283186,4.5158498646434225e-07,5.079999937152024e-06,1.7920000345839071e-06,2.5874999209918315e-06,4.9360000957676675e-06,1.9359999896551017e-06,2.7675000637827907e-06,2.7179402639497376e-07
1,2.8080000000000005e-06,5.04e-06,2.61e-06,2.5046633249132802e-14,7.833599999999999e-22,0.8203749046445405,2.050913181514485e-07,8.478167450537386e-08,0.3277036202052409,203,2.7840000000000004e-06,5.152e-06,2.475e-06,2.0921276442583533e-13,5.333760000000001e-21,0.7056428193773946,3.26759251740426e-07,1.8588577599328698e-07,0.5747408838684347,1.7704519197086372e-07,2.7599999157246202e-06,5.031999990023905e-06,2.5424999421375105e-06,2.7599999157246202e-06,5.031999990023905e-06,2.5424999421375105e-06,0.0
2,9.128e-06,8.992e-06,9.045e-06,2.8147752416155082e-14,8.553599999999999e-22,0.7740630992813868,2.254140160649263e-07,8.99999577086419e-08,0.284349209273622,24,9.136e-06,8.920000000000001e-06,9.135e-06,4.5979181118440074e-14,6.508800000000002e-22,0.7899328538402798,1.6970576210937885e-07,8.99999577086419e-08,0.3807452329407194,1.1553354491228795e-07,9.10400012799073e-06,8.928000170271844e-06,9.1125002654735e-06,9.10400012799073e-06,8.928000170271844e-06,9.1125002654735e-06,0.0
3,6.88e-06,8.568e-06,6.3e-06,3.0590459043183936e-14,8.985600000000002e-22,0.7360367899338199,2.1614710369910154e-07,9.000041245599277e-08,0.3664689712387698,253,6.912e-06,8.52e-06,6.48e-06,2.9644453473499375e-13,7.21728e-21,0.6092418282107291,4.376984409288021e-07,1.98971309163839e-07,0.3339584087356638,1.8901851761137054e-07,6.799999937356915e-06,8.600000001024455e-06,6.322500212263549e-06,6.799999937356915e-06,8.600000001024455e-06,6.322500212263549e-06,0.0
4,7.616e-06,8.992e-06,2.79e-06,3.005984456924056e-14,9.5904e-22,0.7822733688467189,2.1548028928459366e-07,1.0357625315826104e-07,0.4007716096025012,138,7.592e-06,8.88e-06,2.745e-06,1.4375175554724577e-13,3.0182400000000004e-21,0.7025978464209226,3.608338053854231e-07,1.550061113574218e-07,0.1873063716265953,1.2306502346320807e-07,7.575999916298315e-06,8.940000043367036e-06,2.790000053209951e-06,7.575999916298315e-06,8.940000043367036e-06,2.790000053209951e-06,0.0
