label,comX,comY,comZ,SA,vol,sphericity,maxFeret,minFeret,aspectRatio
0.0,3.848e-06,1.848e-06,6.254999999999999e-06,1.2142035756486482e-14,1.2960000000000002e-22,1.0199900878854875,8.216394476242751e-08,4.4999978854320943e-08,0.8622972328244273
1.0,3.4000000000000005e-06,1.128e-06,2.7e-06,1.5217002591266884e-14,1.5551999999999998e-22,0.9190641833479376,1.0954712045861993e-07,5.577284877816383e-08,0.3492799872965874
2.0,5.088e-06,1.736e-06,9.135e-06,1.450239241736486e-14,1.7567999999999998e-22,1.0459863583958076,9.380945720301573e-08,4.4999978854320943e-08,0.6648759823800694
3.0,8.648000000000001e-06,5.784e-06,7.965e-06,2.066013756516891e-14,2.6208000000000005e-22,0.9586060573593276,1.2470229519427006e-07,4.4999978854320943e-08,0.3738555871012665
4.0,7.04e-06,2.8240000000000004e-06,9e-06,2.442430949560809e-14,3.2832000000000003e-22,0.9423091090423192,1.405423188042473e-07,4.4999978854320943e-08,0.3517713656717214
5.0,4.6e-06,6.9520000000000005e-06,7.38e-06,2.7415463512972964e-14,3.3696000000000005e-22,0.8541630187728967,1.4994199345747798e-07,4.4999978854320943e-08,0.291420425421844
6.0,2.0240000000000004e-06,7.44e-06,8.82e-06,2.467529655648648e-14,3.4272000000000005e-22,0.9598013940382956,1.319594788070062e-07,4.4999978854320943e-08,0.4872474019549724
7.0,1.0712e-05,9.248e-06,2.565e-06,3.171300173588091e-14,3.888000000000001e-22,0.8123271038424605,1.4524312894203665e-07,8.362933706790052e-08,0.5471807433906832
8.0,3.1920000000000005e-06,2.9200000000000004e-06,7.38e-06,2.9384812173851345e-14,4.0608e-22,0.902475884404676,1.616974021791418e-07,4.4999978854320943e-08,0.3050531780267093
9.0,5.248e-06,6.472e-06,7.38e-06,2.90745622956081e-14,4.0896e-22,0.9164135329207468,1.5708842200503173e-07,7.834290695766309e-08,0.4486160620597696
10.0,3.176e-06,1.024e-06,7.154999999999999e-06,3.40179447271985e-14,4.492800000000001e-22,0.8339130637977505,1.4996317768145385e-07,8.269039985166754e-08,0.3950613500856859
11.0,7.424e-06,7.792000000000001e-06,2.565e-06,3.598775033033782e-14,4.5504e-22,0.7949914820994282,1.94023856598425e-07,4.4999978854320943e-08,0.1661569811470424
12.0,5.592e-06,8.232e-06,3.15e-06,3.14836057564358e-14,4.5792000000000015e-22,0.912555738454806,1.373776769026605e-07,9.000018508231734e-08,0.5831617785173759
13.0,1.0072e-05,9.256e-06,9.135e-06,3.349302860863176e-14,4.752000000000001e-22,0.87925326978564,1.6555190706079198e-07,8.22872448275998e-08,0.5196495976946881
14.0,1.0472e-05,4.648e-06,8.235e-06,3.2775951965168904e-14,4.780799999999999e-22,0.902116294240316,1.6914641580893086e-07,4.4999978854320943e-08,0.3416241676829276
15.0,7.624e-06,4.088e-06,5.445e-06,3.2108358142983614e-14,4.780799999999999e-22,0.9208730074377216,1.3863294706745438e-07,8.40369961300822e-08,0.6312848424694093
16.0,6.08e-06,3.3760000000000004e-06,1.485e-06,3.4056751461192344e-14,4.8960000000000005e-22,0.8820810875831571,1.4705240889948272e-07,8.99999577086419e-08,0.6479136294243177
17.0,9.664e-06,9.256e-06,2.43e-06,3.610486913585559e-14,5.068800000000002e-22,0.8515074518708403,1.4998443380226965e-07,8.99999577086419e-08,0.6312792951910511
18.0,9.56e-06,8.192e-06,8.46e-06,3.942940812438892e-14,5.212799999999999e-22,0.7944097669315685,1.6841844851245809e-07,8.767202268846461e-08,0.4687094658646573
19.0,9.048e-06,7.736e-06,8.775e-06,3.792228797934376e-14,5.3280000000000015e-22,0.8381062320464023,1.660547316188212e-07,9.000086720334367e-08,0.4771337383716838
20.0,8.688e-06,2.4240000000000004e-06,9.45e-07,3.644830700863176e-14,5.4144e-22,0.881401236231109,1.4315787373433556e-07,9.000001455206076e-08,0.6543477516737924
21.0,7.944e-06,9.04e-07,6.344999999999999e-06,4.4375601947702674e-14,6.0768000000000015e-22,0.7818494997418791,2.396088823585335e-07,4.4999978854320943e-08,0.1017963996452703
22.0,4.48e-06,3.1200000000000004e-07,3.5550000000000003e-06,4.9331068776103036e-14,6.134400000000002e-22,0.707747472733622,1.9006746194469975e-07,1.0812399412516403e-07,0.3638196914680278
23.0,1.0408e-05,4.624e-06,8.1e-06,4.705277194729691e-14,6.220799999999999e-22,0.7489676682938788,1.973842799436694e-07,1.0715086852749236e-07,0.4765340770009893
25.0,4.76e-06,3.2400000000000003e-06,1.575e-06,4.971082207940367e-14,6.624000000000002e-22,0.7392308141950125,2.535590077618289e-07,9.000007139547962e-08,0.1345750504184699
26.0,6.92e-06,7.968e-06,3.15e-06,4.5208670361928244e-14,6.652799999999999e-22,0.815202248339885,1.7032739828382168e-07,9.000018508231734e-08,0.4591955291698095
27.0,3.728000000000001e-06,1.016e-06,3.015e-06,5.328103332284117e-14,7.344000000000001e-22,0.7388108494026011,2.337067515067188e-07,9.652859135796208e-08,0.3803558674051019
28.0,3.0080000000000003e-06,2.4800000000000004e-06,2.07e-06,5.443992606116704e-14,7.401599999999999e-22,0.7268592782764786,2.1292265153096134e-07,9.476687878324005e-08,0.4524268625611891
29.0,3.1040000000000003e-06,2.5120000000000003e-06,6.704999999999999e-06,4.9507837842955685e-14,7.9488000000000015e-22,0.8381939939332945,1.83779762905048e-07,8.99999577086419e-08,0.5369798327391386
30.0,1.0392e-05,6.9520000000000005e-06,3.105e-06,6.354272109772648e-14,8.553599999999999e-22,0.6857791450115823,2.947472445441659e-07,9.416667950271225e-08,0.1721848215450368
31.0,3.6000000000000003e-06,5.12e-06,9.225e-06,5.965932191844009e-14,9.071999999999999e-22,0.7596400247917642,2.747193342254785e-07,8.99999577086419e-08,0.1873739373382051
32.0,2.0560000000000003e-06,9.176e-06,4.95e-06,5.940456518501017e-14,9.1008e-22,0.7645114896259158,2.208629837720792e-07,1.131833256011192e-07,0.4347363826919772
33.0,9.896e-06,3.4480000000000003e-06,4.905e-06,6.120877679922616e-14,9.3888e-22,0.7575485694736775,2.432811698479197e-07,9.565513175276933e-08,0.2895294951069009
34.0,3.2960000000000003e-06,1.9200000000000003e-06,4.815e-06,7.419171248358364e-14,1.0051199999999999e-21,0.6540445614985958,2.6065943816869215e-07,8.99999577086419e-08,0.362832814460523
35.0,1.004e-05,1.04e-06,7.74e-06,5.846512890975766e-14,1.0195199999999999e-21,0.8378849300826818,1.723233863732987e-07,8.99999577086419e-08,0.5168960921251315
36.0,8.000000000000001e-07,1.232e-06,7.604999999999999e-06,6.378379104877124e-14,1.0281600000000001e-21,0.772350203595874,2.1379543600860298e-07,8.99999577086419e-08,0.4524574364040784
37.0,8e-06,9.04e-07,6.48e-06,6.93991365494913e-14,1.0368000000000002e-21,0.7138276776417994,2.130250444296211e-07,1.138708412784318e-07,0.4051159270467057
38.0,8.16e-06,7.968e-06,2.34e-06,6.459100097143186e-14,1.0368000000000002e-21,0.7669648051340816,2.537674375744429e-07,8.99999577086419e-08,0.2219083642952563
39.0,3.28e-07,7.856e-06,8.46e-06,6.253817506077711e-14,1.0483200000000002e-21,0.7979974463333712,2.189069070331898e-07,4.4999978854320943e-08,0.335159852767323
40.0,9.712e-06,9.224e-06,2.745e-06,6.80314707069481e-14,1.0598400000000002e-21,0.7389263195035828,2.392832179191012e-07,1.350001639366383e-07,0.5053504431339776
41.0,6.2e-06,1.904e-06,9e-07,6.933459133737407e-14,1.0684799999999999e-21,0.7289735363907325,2.358796544894895e-07,1.280000105907675e-07,0.325764280204343
42.0,8.480000000000001e-07,1.76e-06,6.3e-06,7.975257206019389e-14,1.1462400000000002e-21,0.6641351498492297,2.1737159584632002e-07,1.2824751488596005e-07,0.6133110929658585
43.0,1.448e-06,1.064e-06,8.775e-06,7.017585517607974e-14,1.1664000000000001e-21,0.7635920849953177,2.61442940830169e-07,9.062109384377065e-08,0.3606536528782375
44.0,4.7200000000000004e-07,6.872e-06,1.89e-06,6.658947839067717e-14,1.1779200000000001e-21,0.8100075035561501,2.154797770605803e-07,8.99999577086419e-08,0.4222938262646464
45.0,1.312e-06,9.28e-07,2.385e-06,6.854048439392445e-14,1.1894400000000001e-21,0.7920731920563934,2.2624045767606243e-07,8.99999577086419e-08,0.3479951733849559
46.0,1.456e-06,2.032e-06,8.955e-06,7.176647839298784e-14,1.1923199999999999e-21,0.7576891029758401,2.290692484644089e-07,9.600000794307563e-08,0.2534665510238768
47.0,8.136e-06,4.632e-06,6.57e-06,8.453971770418925e-14,1.2240000000000002e-21,0.6545521841783514,3.906904148034076e-07,4.4999978854320957e-08,0.100935891102086
48.0,8.632e-06,8.224e-06,2.34e-06,7.712720734809276e-14,1.2412800000000001e-21,0.7241963915956797,2.462192224299367e-07,1.35692448787743e-07,0.4515245280824314
49.0,7.976e-06,8.296e-06,4.995e-06,7.827620232075113e-14,1.2412800000000001e-21,0.7135661107633127,3.01523247517111e-07,1.2148349688087496e-07,0.2082828085890723
50.0,8.528e-06,2.488e-06,3.105e-06,7.96614406968642e-14,1.2729600000000002e-21,0.7130376673552901,2.2124700426770787e-07,1.3228919096811964e-07,0.5888537704819624
51.0,6.9520000000000005e-06,9.008e-06,3.87e-06,7.787815062275595e-14,1.2873600000000003e-21,0.7348553076843514,2.713569496588894e-07,1.3499993656296286e-07,0.4310557965912676
52.0,1.0328e-05,3.232e-06,8.1e-06,8.489051007720366e-14,1.3507200000000001e-21,0.6960950332713732,2.392592377591175e-07,1.280000105907675e-07,0.422203309541463
53.0,1.0704e-05,7.208e-06,9.09e-06,7.855552035085165e-14,1.3535999999999999e-21,0.7532994411141843,2.1301594881897445e-07,1.3499993656296286e-07,0.5406693218677253
54.0,3.576e-06,3.0960000000000005e-06,8.64e-06,9.16455039870372e-14,1.3651200000000001e-21,0.6493619646091996,2.639996647520405e-07,1.323752479313376e-07,0.4092075749320469
55.0,1.0728e-05,4.392e-06,3.87e-06,8.956267744357698e-14,1.3708800000000002e-21,0.6663309969713971,2.318636144979653e-07,1.4127419992798008e-07,0.3752571369718204
56.0,6.064e-06,9e-06,2.07e-06,7.5001394948042e-14,1.3795199999999999e-21,0.79903680547147,2.09347812168209e-07,1.278117616957123e-07,0.4323324673771976
57.0,8.16e-06,3.6000000000000003e-06,9.27e-06,6.913554807208505e-14,1.4025600000000001e-21,0.8764564613907851,2.103697950223928e-07,1.280000105907675e-07,0.4785706565284783
