synLabel,vesLabel,OG_Ves_X,OG_Ves_Y,OG_Ves_Z,Ves_X,Ves_Y,Ves_Z,Syn_X,Syn_Y,Syn_Z,VectorAngle,Intersect,IOU,IOS
24,1076,1.0355525773775298e-05,1.1102699772891356e-05,5.528611154659302e-06,1.0355576250731247e-05,1.1097817605332239e-05,5.529214604393928e-06,1.0344479960622266e-05,1.1106322290288517e-05,5.210208882999723e-06,0.8747918784652303,8727,0.09352394628829852,1.0
25,4,1.4472233033302473e-05,1.193929665532778e-05,6.239253480089246e-06,1.4472233033302473e-05,1.192993477161508e-05,6.223837090146844e-06,1.4472233033302473e-05,1.193276148114819e-05,6.1453301896108314e-06,6.042314055800248,64367,0.40023255235536986,0.40023255235536986
26,1125,1.5808634088898543e-05,7.238086027427926e-06,1.4149633784654725e-06,1.5937970601953566e-05,7.519197424699087e-06,1.2207823658627603e-06,1.5863303815422114e-05,7.249695045175031e-06,1.1394642456252768e-06,79.30579126957194,7842,0.07877290260366442,0.8220125786163522
27,770,1.579258150741225e-05,6.8964375259383814e-06,2.6573690092845936e-06,1.5773788618389517e-05,7.317686367969145e-06,2.325446189388458e-06,1.5791881196491886e-05,6.896391141708591e-06,2.229030997114023e-06,77.11891324944773,0,0.0,0.0
28,844,1.6542935554753058e-05,7.096805120454519e-06,5.322013294062344e-06,1.6550551663385704e-05,7.061616543069249e-06,5.332323780748993e-06,1.6528579180885572e-05,7.128942570489016e-06,5.139331506143208e-06,9.371688324860466,30994,0.2862050178681909,0.9758508863071061
29,1074,1.4916627151251305e-05,6.652639285675832e-06,9.306729225500021e-06,1.4817230294283945e-05,6.728553444190766e-06,9.279549431084888e-06,1.4919247860234464e-05,6.6412064825271955e-06,8.988372883322882e-06,23.097307543518777,16070,0.14034076519339428,0.9789230019493177
30,1240,9.186218449031003e-06,1.3711678093386581e-05,6.3813113229116425e-06,9.588138709659688e-06,1.3734411822952097e-05,6.253475930861896e-06,9.183343081531348e-06,1.3716523426410276e-05,5.474057843457558e-06,27.302018773305274,4078,0.0392867120740648,1.0
31,458,1.6724646229704376e-05,1.2150529983045999e-05,5.782569019174844e-07,1.6765142390795518e-05,1.2117945971112931e-05,5.624448249363923e-07,1.672121561568929e-05,1.213977293446078e-05,4.976180036919686e-07,39.00953972748703,69239,0.5128624865745713,0.7554636610620724
32,1115,1.079251251212554e-05,1.0543357348069549e-05,4.526587872533128e-06,1.1357497896824498e-05,1.0567267963779159e-05,4.234340508446621e-06,1.0956684036500519e-05,1.0575610758678522e-05,3.821361588052241e-06,57.24464903343015,5560,0.07561539507683938,1.0
33,781,1.5710234038124327e-05,1.0270337952533737e-05,3.4598990623635473e-06,1.5711531887063757e-05,1.0219101568509359e-05,3.4519216569606215e-06,1.5738703950773925e-05,1.0280567494191928e-05,3.2202636930378503e-06,12.33615790373658,34956,0.37590330350997936,0.9935762605878006
34,869,1.6437190424767323e-05,1.4342211215989664e-05,1.6000140590222145e-06,1.6365515875804704e-05,1.4279417428042507e-05,1.5989405710570281e-06,1.6469864931423217e-05,1.4350922356243245e-05,1.2891869118902832e-06,16.48526522519908,26260,0.3304724270720596,0.9856617371068238
35,1199,1.1404339602449909e-05,8.032015557546401e-06,8.86525413079653e-06,1.1405739314795937e-05,7.568094360976829e-06,8.692323717696127e-06,1.1328710570523981e-05,8.03188186182524e-06,8.039595286390977e-06,35.24525744612487,0,0.0,0.0
36,659,9.226837391906884e-06,1.0363230103394017e-05,5.897976734559052e-06,9.274157491745427e-06,1.0320537057850743e-05,5.8812131555896485e-06,9.216664693667553e-06,1.0378336810390465e-05,5.76841011934448e-06,28.034414457150923,66469,0.4493638367203451,0.820230265187507
37,753,1.6749096175772138e-05,1.2221800716361031e-05,5.040810719947331e-06,1.6711168427718803e-05,1.2183613762317691e-05,5.0533039939182345e-06,1.6723686712794006e-05,1.2205357052152976e-05,4.900830163023784e-06,20.946417847682,58834,0.4810904957765367,0.977357675631676
38,454,1.301272823184263e-05,1.1596292097237892e-05,7.155944786063628e-06,1.2917155800096225e-05,1.1591546808631392e-05,7.128619245122536e-06,1.3015102467761608e-05,1.159393104899209e-05,6.996873253228841e-06,35.81212179437123,37087,0.28275073380856175,0.41328548982025254
39,8,1.7196939552377444e-05,6.472335599028156e-06,5.42449606655282e-06,1.719423926260788e-05,6.369677294060239e-06,5.373881094783428e-06,1.720689488138305e-05,6.485966650870978e-06,5.304445721776574e-06,52.466653931575856,19129,0.12001455558413693,0.145050728703802
