synLabel,vesLabel,OG_Ves_X,OG_Ves_Y,OG_Ves_Z,Ves_X,Ves_Y,Ves_Z,Syn_X,Syn_Y,Syn_Z,VectorAngle,Intersect,IOU,IOS
0,511,7.669315209568595e-06,1.653988817906793e-06,7.871066827647155e-06,9.651115306041902e-06,9.903031639169058e-08,6.639103276029346e-06,7.676335144424229e-06,1.6766405792623118e-06,4.881860832028906e-06,55.02704031252524,0,0.0,0.0
1,203,7.4865449732897105e-06,2.55517056757526e-06,6.340798336168518e-06,6.110204594733659e-06,3.995113729615696e-06,5.983105211271322e-06,7.483786475859233e-06,2.576558813416341e-06,8.543504748104169e-07,21.237851622125444,0,0.0,0.0
2,24,6.581794423254905e-06,4.835370191358379e-06,1.001224427454872e-05,7.79416222940199e-06,1.2938332019984955e-05,5.191376430957462e-06,6.6026111653627595e-06,4.8406254791188985e-06,6.374398822117655e-07,60.9595745230309,0,0.0,0.0
3,253,5.55993574380409e-06,7.007305612205528e-06,1.1005523901985725e-05,5.566939762502443e-06,1.2387597962515429e-05,9.546626642986666e-06,5.565337460211595e-06,7.005411816862761e-06,2.2401290067364243e-07,29.98890975393904,0,0.0,0.0
4,138,5.184696874493966e-06,5.104423280499759e-06,9.047846560861217e-06,1.2590664937306428e-06,3.0020703434274765e-06,7.693233101235819e-06,5.195285439185682e-06,5.114942041473114e-06,8.992151947495586e-07,33.22656812022468,0,0.0,0.0
